"OrganizationID","OrganizationName","MonitoringLocationID","MonitoringLocationName","MonitoringLocationType","HUC8","Latitude","Longitude","VerticalMe","OBJECTID","SGEOID","WBID","AUID","Cat","PortionDes","distance","SegmentID","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","X.10","X.11","X.12","X.13","X.14","X.15","X.16","X.17","X.18","X.19"
"USGS-CO","USGS Colorado Water Science Center","USGS-09095300","DRY FORK AT UPPER STATION, NEAR DE BEQUE CO.","Stream",14010005,39.3747007,-108.3178636,5385,24625,32250,"COLCLC14c","COLCLC14c_B","5","North, South and mainstem of Dry Fork including tributaries",11.04489937,"COLCLC14c_B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-09095500","COLORADO RIVER NEAR CAMEO, CO.","Stream",14010005,39.2391463,-108.2661946,4813.73,23156,30314,"COLCLC02a","COLCLC02a_A","3b","Mainstem of the Colorado River from immediately below the confluence with Rifle Creek to immediately above the confluence of Rapid Creek.",41.88957875,"COLCLC02a_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-391607108153500","SULPHUR GULCH AT MOUTH, NR DEBEQUE, CO","Stream",14010005,39.2685905,-108.2603612,4860,23528,30783,"COLCLC13a","COLCLC13a_B","3b","Sulphur Gulch and tributaries",57.45558513,"COLCLC13a_B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-391741108131801","UNNAMED CO R. TRIB NR T-ROAD NR DEBEQUE, CO","Stream",14010005,39.2947222,-108.2217778,4895,23696,31005,"COLCLC13a","COLCLC13a_A","1","Tributaries to the Colorado River from below the confluence of Roan Creek to Colorado/Utah border except for Sulphur Gulch and tributaries",168.3477534,"COLCLC13a_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-391810108135001","SECONDARY CHANNEL OF THE COLORADO RIVER NR DEBEQUE","Stream",14010005,39.3027778,-108.2306389,4890,23860,31245,"COLCLC02a","COLCLC02a_A","3b","Mainstem of the Colorado River from immediately below the confluence with Rifle Creek to immediately above the confluence of Rapid Creek.",224.8222941,"COLCLC02a_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-391821108125101","UNNAMED CO R. TRIB NR 45-ROAD NR DEBEQUE, CO","Stream",14010005,39.306,-108.21425,4911,23943,65263,"COLCLC12b","COLCLC12b_A","3a","All tributaries and wetlands to the Colorado River from a point immediately below the confluence of Parachute Creek to a point immediately below the confluence with Roan Creek, except for the specific listings in segments 14a, 14b and 14c.",875.6857337,"COLCLC12b_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-391827108130101","UNNAMED CO R. TRIB NR I70 NR DEBEQUE, CO","Stream",14010005,39.3075556,-108.2170278,4900,23943,65263,"COLCLC12b","COLCLC12b_A","3a","All tributaries and wetlands to the Colorado River from a point immediately below the confluence of Parachute Creek to a point immediately below the confluence with Roan Creek, except for the specific listings in segments 14a, 14b and 14c.",614.0155343,"COLCLC12b_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-391900108125101","LITTLE HORSETHIEF CREEK NR DEBEQUE, CO","Stream",14010005,39.3166944,-108.2143889,4920,23943,65263,"COLCLC12b","COLCLC12b_A","3a","All tributaries and wetlands to the Colorado River from a point immediately below the confluence of Parachute Creek to a point immediately below the confluence with Roan Creek, except for the specific listings in segments 14a, 14b and 14c.",301.3004495,"COLCLC12b_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-391944108130201","ROAN CREEK AT MOUTH NR DEBEQUE, CO","Stream",14010005,39.329,-108.2173889,4910,24407,31937,"COLCLC14c","COLCLC14c_C","5","Roan Creek and tributaries including Conn Cr, Logan Wash, Bloat Gulch and Gibler Gulch",19.94328045,"COLCLC14c_C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-392555107403001","EAST MAMM CREEK NR HIGHLINE DITCH","Stream",14010005,39.432,-107.6750833,6240,25497,33403,"COLCLC04a","COLCLC04a_B","5","Mamm Creek",9.02358393,"COLCLC04a_B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-392555107405401","UNNAMED TRIBUTARY TO E. MAMM CR NR HIGHLINE DITCH","Stream",14010005,39.432,-107.6818611,6290,25497,33403,"COLCLC04a","COLCLC04a_B","5","Mamm Creek",501.1068018,"COLCLC04a_B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-392715107393601","UPPER DRY HOLLOW CREEK NR HIGHLINE DITCH","Stream",14010005,39.4541667,-107.6601944,6105,25527,33438,"COLCLC04d","COLCLC04d_A","3a","The mainstem of Dry Hollow Creek, including all tributaries and wetlands, from the source to the confluence with the Colorado River.",5.451170195,"COLCLC04d_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-392752107392601","UPPER DRY HOLLOW CREEK NR MULTA TRINA DITCH","Stream",14010005,39.4645556,-107.6572778,6015,25527,33438,"COLCLC04d","COLCLC04d_A","3a","The mainstem of Dry Hollow Creek, including all tributaries and wetlands, from the source to the confluence with the Colorado River.",16.57114005,"COLCLC04d_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-392805107411501","WEST MAMM CREEK NR HUNTER MESA NR SILT, CO","Stream",14010005,39.4681944,-107.6875833,5820,25496,33402,"COLCLC04a","COLCLC04a_B","5","Mamm Creek",15.31975425,"COLCLC04a_B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-392921107390801","UPPER DRY HOLLOW CREEK NR DRY HOLLOW, CO","Stream",14010005,39.4892222,-107.6523889,5740,26150,34161,"COLCLC04d","COLCLC04d_A","3a","The mainstem of Dry Hollow Creek, including all tributaries and wetlands, from the source to the confluence with the Colorado River.",251.7339559,"COLCLC04d_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-392930107391001","UPPER DRY HOLLOW CREEK NEAR RIFLE, CO","Stream",14010005,39.4918333,-107.6529722,5730,26150,34161,"COLCLC04d","COLCLC04d_A","3a","The mainstem of Dry Hollow Creek, including all tributaries and wetlands, from the source to the confluence with the Colorado River.",9.946117297,"COLCLC04d_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-392953107392801","TRIBUTARY TO DRY HOLLOW CREEK NR DRY HOLLOW, CO","Stream",14010005,39.4982778,-107.6579444,5685,26150,34161,"COLCLC04d","COLCLC04d_A","3a","The mainstem of Dry Hollow Creek, including all tributaries and wetlands, from the source to the confluence with the Colorado River.",66.45170405,"COLCLC04d_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393136107423401","MAMM CREEK E OF GARFIELD CNTY AIRPORT NR RIFLE, CO","Stream",14010005,39.5266944,-107.7095,5425,26464,34533,"COLCLC04a","COLCLC04a_B","5","Mamm Creek",1.999627583,"COLCLC04a_B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393143107465200","COLORADO RIVER NEAR RIFLE, CO","Stream",14010005,39.5285912,-107.7817308,5280,26341,34400,"COLCLC01","COLCLC01_A","5","Colorado River from Paradise Creek to below the confluence with Rifle Creek",80.22271755,"COLCLC01_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393203107392901","DRY HOLLOW CREEK AT~MOUTH NR SILT, CO","Stream",14010005,39.5342778,-107.6581389,5450,26461,34530,"COLCLC04d","COLCLC04d_A","3a","The mainstem of Dry Hollow Creek, including all tributaries and wetlands, from the source to the confluence with the Colorado River.",12.06956223,"COLCLC04d_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393207107384901","UNNAMED TRIBUTARY AT DRY HOLLOW RD NR SILT","Stream",14010005,39.5353333,-107.6469722,5470,26496,34573,"COLCLC01","COLCLC01_A","5","Colorado River from Paradise Creek to below the confluence with Rifle Creek",319.2850615,"COLCLC01_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393225107372001","DIVIDE CREEK @ DIVIDE CREEK RD NR SILT, CO","Stream",14010005,39.5404444,-107.6222778,5470,26532,34612,"COLCLC07b","COLCLC07b_A","1","Mainstem of Divide Creek, including all tributaries and wetlands, from the boundary of the White River National Forest to the confluence with the Colorado River.",27.92379382,"COLCLC07b_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393237107391501","STREAM DRAINING SOUTH OF SILT, CO NR CO RIVER","Stream",14010005,39.5437778,-107.6543611,5425,26515,34592,"COLCLC04a","COLCLC04a_A","5","Tributaries to Colorado River, Roaring Fork to Parachute Creek, except for Mamm Creek and Alkali Creek",212.021605,"COLCLC04a_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393238107432901","UNNAMED CO R. TRIB NR US HWY 6 NR SILT, CO","Stream",14010005,39.5440278,-107.7248056,5390,26499,34576,"COLCLC01","COLCLC01_A","5","Colorado River from Paradise Creek to below the confluence with Rifle Creek",427.9273005,"COLCLC01_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393240107383601","UNNAMED CO R. TRIB E. OF 16 ST UNDERPASS AT SILT","Stream",14010005,39.5444444,-107.6433889,5420,26511,34588,"COLCLC04a","COLCLC04a_A","5","Tributaries to Colorado River, Roaring Fork to Parachute Creek, except for Mamm Creek and Alkali Creek",352.1676396,"COLCLC04a_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393248107394601","UNNAMED CO R. TRIB AT 1 ST AT SILT,CO","Stream",14010005,39.5465278,-107.6626667,5460,27119,35286,"COLCLC04a","COLCLC04a_A","5","Tributaries to Colorado River, Roaring Fork to Parachute Creek, except for Mamm Creek and Alkali Creek",30.36006583,"COLCLC04a_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393248107402001","STREAM DRAINING IRRIG AREA WEST OF SILT, CO","Stream",14010005,39.5467222,-107.6722222,5435,26989,35131,"COLCLC04a","COLCLC04a_A","5","Tributaries to Colorado River, Roaring Fork to Parachute Creek, except for Mamm Creek and Alkali Creek",30.87678927,"COLCLC04a_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393249107421801","UNAMED CO R. TRIB SOUTH OF US HWY 6 NR SILT, CO","Stream",14010005,39.547,-107.7050278,5400,26594,34684,"COLCLC01","COLCLC01_A","5","Colorado River from Paradise Creek to below the confluence with Rifle Creek",161.3659297,"COLCLC01_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393253107410201","UNNAMED CO R. TRIB NR US HIGHWAY 6 NR SILT, CO","Stream",14010005,39.5480556,-107.6838056,5435,26595,34685,"COLCLC04a","COLCLC04a_A","5","Tributaries to Colorado River, Roaring Fork to Parachute Creek, except for Mamm Creek and Alkali Creek",276.4536735,"COLCLC04a_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393253107410401","UNNAMED CO R. TRIB NR LWR CACTUS VALLEY CANAL","Stream",14010005,39.5480833,-107.6845556,5440,26595,34685,"COLCLC04a","COLCLC04a_A","5","Tributaries to Colorado River, Roaring Fork to Parachute Creek, except for Mamm Creek and Alkali Creek",305.9119551,"COLCLC04a_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393254107415101","UNNAMED CO R. TRIB AT CNTY RD 227 NR SILT,CO","Stream",14010005,39.5482778,-107.6976111,5420,27045,35193,"COLCLC04a","COLCLC04a_A","5","Tributaries to Colorado River, Roaring Fork to Parachute Creek, except for Mamm Creek and Alkali Creek",12.02149753,"COLCLC04a_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393307107354401","UNNAMED CO R. TRIB AT US HWY 6 NR NEW CASTLE, CO","Stream",14010005,39.5519722,-107.5955278,5510,26717,34824,"COLCLC04a","COLCLC04a_A","5","Tributaries to Colorado River, Roaring Fork to Parachute Creek, except for Mamm Creek and Alkali Creek",417.6620386,"COLCLC04a_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393312107384601","UNNAMED CO R. TRIBUTARY ABV WARE AND HINDS CANAL","Stream",14010005,39.5532778,-107.6460833,5540,27496,35745,"COLCLC04a","COLCLC04a_A","5","Tributaries to Colorado River, Roaring Fork to Parachute Creek, except for Mamm Creek and Alkali Creek",9.199574647,"COLCLC04a_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393326107434501","UNNAMED CO R. TRIB AT COUNTY RD 223 NR SILT","Stream",14010005,39.5572222,-107.7294167,5470,26943,35080,"COLCLC04a","COLCLC04a_A","5","Tributaries to Colorado River, Roaring Fork to Parachute Creek, except for Mamm Creek and Alkali Creek",8.021359539,"COLCLC04a_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393339107221600","COLORADO R ABV I-70 MUDSLIDE NR GLENWOOD SPGS, CO","Stream",14010005,39.560815,-107.3717207,5680,26812,34930,"COLCLC01","COLCLC01_B","5","Colorado River from Roaring Fork to Paradise Creek",24.06044975,"COLCLC01_B",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393350107383201","UNNAMED CO R. TRIB AT CNTY RD 214 NR SILT, CO","Stream",14010005,39.5640278,-107.6422778,5720,27496,35745,"COLCLC04a","COLCLC04a_A","5","Tributaries to Colorado River, Roaring Fork to Parachute Creek, except for Mamm Creek and Alkali Creek",9.057092946,"COLCLC04a_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393350107392401","UNNAMED CO R. TRIB AT SILT MESA RD NR SILT, CO","Stream",14010005,39.5639444,-107.6567778,5640,27119,35286,"COLCLC04a","COLCLC04a_A","5","Tributaries to Colorado River, Roaring Fork to Parachute Creek, except for Mamm Creek and Alkali Creek",6.112591062,"COLCLC04a_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393350107424101","UNNAMED CO R. TRIB NR CNTY RD 259 NR SILT, CO","Stream",14010005,39.564,-107.7114722,5540,27729,36063,"COLCLC04a","COLCLC04a_A","5","Tributaries to Colorado River, Roaring Fork to Parachute Creek, except for Mamm Creek and Alkali Creek",0.408110515,"COLCLC04a_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393351107400601","UNNAMED CO R. TRIB AT CNTY RD 233 NR SILT,CO","Stream",14010005,39.5641111,-107.6683333,5620,26989,35131,"COLCLC04a","COLCLC04a_A","5","Tributaries to Colorado River, Roaring Fork to Parachute Creek, except for Mamm Creek and Alkali Creek",1.959808524,"COLCLC04a_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393351107423501","UNNAMED CO R. TRIB NR ANTLERS LN NR SILT, CO","Stream",14010005,39.5640556,-107.7098056,5540,27570,35835,"COLCLC04a","COLCLC04a_A","5","Tributaries to Colorado River, Roaring Fork to Parachute Creek, except for Mamm Creek and Alkali Creek",27.92146277,"COLCLC04a_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393406107392401","UNNAMED CO R. TRIB AT CNTY RD 261 NR SILT, CO","Stream",14010005,39.5684722,-107.6569167,5700,27119,35286,"COLCLC04a","COLCLC04a_A","5","Tributaries to Colorado River, Roaring Fork to Parachute Creek, except for Mamm Creek and Alkali Creek",73.82626506,"COLCLC04a_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393419107425001","UNNAMED STREAM @ CNTY RD 259 NR SILT, CO","Stream",14010005,39.5721389,-107.7139167,5600,27729,36063,"COLCLC04a","COLCLC04a_A","5","Tributaries to Colorado River, Roaring Fork to Parachute Creek, except for Mamm Creek and Alkali Creek",51.33157344,"COLCLC04a_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393419107435701","UNNAMED CO R. TRIB NR FARMERS DITCH NR SILT, CO","Stream",14010005,39.5720833,-107.7325,5570,26943,35080,"COLCLC04a","COLCLC04a_A","5","Tributaries to Colorado River, Roaring Fork to Parachute Creek, except for Mamm Creek and Alkali Creek",287.508044,"COLCLC04a_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393422107402301","UNNAMED CO R. TRIB AT CNTY RD 237 NR SILT, CO","Stream",14010005,39.5728889,-107.6731667,5730,27648,35943,"COLCLC04a","COLCLC04a_A","5","Tributaries to Colorado River, Roaring Fork to Parachute Creek, except for Mamm Creek and Alkali Creek",4.424010946,"COLCLC04a_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393424107265600","COLORADO R BLW I-70 MUDSLIDE NEAR GLENWOOD SPGS CO","Stream",14010005,39.5733145,-107.4494985,NA,27008,35153,"COLCLC01","COLCLC01_A","5","Colorado River from Paradise Creek to below the confluence with Rifle Creek",47.40369677,"COLCLC01_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393457107400601","UNNAMED CO R. TRIB AT BENDETTI RD NR SILT, CO","Stream",14010005,39.5824722,-107.6684167,5860,27595,35868,"COLCLC04a","COLCLC04a_A","5","Tributaries to Colorado River, Roaring Fork to Parachute Creek, except for Mamm Creek and Alkali Creek",1.322817056,"COLCLC04a_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"USGS-CO","USGS Colorado Water Science Center","USGS-393534107394901","UNNAMED CO R. TRIB NR CNTY RD 237 AT HARVEY GAP","Stream",14010005,39.5926944,-107.6636111,6040,27595,35868,"COLCLC04a","COLCLC04a_A","5","Tributaries to Colorado River, Roaring Fork to Parachute Creek, except for Mamm Creek and Alkali Creek",9.209940411,"COLCLC04a_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"21COL001","Colorado Dept. of Public Health & Environment","21COL001-000047","COLORADO RIVER AT NEW CASTLE","River/Stream",14010005,39.5658333,-107.4666667,NA,26979,35120,"COLCLC04a","COLCLC04a_A","5","Tributaries to Colorado River, Roaring Fork to Parachute Creek, except for Mamm Creek and Alkali Creek",250.2224736,"COLCLC04a_A",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
