OrganizationID,OrganizationName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationType,HUC8,Latitude,Longitude,VerticalMe,OBJECTID,SGEOID,WBID,AUID,Cat,PortionDes,distance,SegmentID
USGS-CO,USGS Colorado Water Science Center,USGS-09095300,"DRY FORK AT UPPER STATION, NEAR DE BEQUE CO.",Stream,14010005,39.3747007,-108.3178636,5385,24625,32250,COLCLC14c,COLCLC14c_B,5,"North, South and mainstem of Dry Fork including tributaries",11.04489937,COLCLC14c_B
USGS-CO,USGS Colorado Water Science Center,USGS-09095400,"DRY FORK NEAR DE BEQUE, CO.",Stream,14010005,39.3688676,-108.2620282,5085,24595,32199,COLCLC14c,COLCLC14c_B,5,"North, South and mainstem of Dry Fork including tributaries",43.86530679,COLCLC14c_B
USGS-CO,USGS Colorado Water Science Center,USGS-09095500,"COLORADO RIVER NEAR CAMEO, CO.",Stream,14010005,39.2391463,-108.2661946,4813.73,23156,30314,COLCLC02a,COLCLC02a_A,3b,Mainstem of the Colorado River from immediately below the confluence with Rifle Creek to immediately above the confluence of Rapid Creek.,41.88957875,COLCLC02a_A
USGS-CO,USGS Colorado Water Science Center,USGS-09097500,"BUZZARD CREEK NEAR COLLBRAN, CO",Stream,14010005,39.2722015,-107.8506206,6955,23475,30705,COLCLC15d,COLCLC15d_A,3a,Mainstem of Buzzard Creek from the Grand Mesa National Forest boundary to its confluence with Plateau Creek.,14.36470216,COLCLC15d_A
USGS-CO,USGS Colorado Water Science Center,USGS-09097900,"PLATEAU CREEK BELOW COLLBRAN, CO",Stream,14010005,39.2397009,-107.971459,5920,23120,30270,COLCLC16,COLCLC16_A,3b,"Plateau Creek including all tributaries and wetlands, from a point immediately below the confluence with Buzzard Creek, to the confluence with the Colorado River, excluding specific listings in segment 15.",22.21196911,COLCLC16_A
USGS-CO,USGS Colorado Water Science Center,USGS-09100000,"BIG CREEK NEAR COLLBRAN, CO.",Stream,14010005,39.1949791,-107.9611802,6900,23028,30122,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",4.406600174,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-09104000,"COON CREEK NEAR MESA, CO.",Stream,14010005,39.106647,-108.1334097,6910,22077,28747,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",80.01791067,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-09105000,"PLATEAU CREEK NEAR CAMEO, CO",Stream,14010005,39.1836111,-108.2683333,4840,22634,29576,COLCLC16,COLCLC16_A,3b,"Plateau Creek including all tributaries and wetlands, from a point immediately below the confluence with Buzzard Creek, to the confluence with the Colorado River, excluding specific listings in segment 15.",0.41132597,COLCLC16_A
USGS-CO,USGS Colorado Water Science Center,USGS-390345108073301,DRAIN AT D AND 29 3/4 ROADS,Stream,14010005,39.0624807,-108.1264645,4610,21572,28002,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",445.9749104,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-390602108085201,"MESA CK ABV SOUTH SIDE DITCH RETURN NR MESA, CO",Stream,14010005,39.100525,-108.1479028,6940,21680,28175,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",4.99599719,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-390800108024301,"BULL CK ABOVE SOUTH SIDE DITCH NR MOLINA, CO",Stream,14010005,39.1333333,-108.0452778,7140,22284,29092,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",71.69132748,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-390823108090801,"MESA CK AT RD IE NR MESA, CO",Stream,14010005,39.1396472,-108.1521583,6065,22340,29177,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",0.120794005,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-390828108092701,"TATE CK AT RD 48 NR MESA, CO",Stream,14010005,39.1411722,-108.1575944,6140,22339,29176,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",22.14032052,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-390838108001501,COTTONWOOD CK AT UPPER MOLINA POWERPLANT NR MOLINA,Stream,14010005,39.1438889,-108.0041667,7130,22442,29309,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",73.49830412,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-390838108031701,"BULL CK AT RD 52.2 NR MOLINA, CO",Stream,14010005,39.1438556,-108.0548389,6690,22284,29092,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",4.206602324,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-390935107551101,"LITTLE CK AT RD 60.75 NR COLLBRAN, CO",Stream,14010005,39.1596167,-107.9196972,7475,22449,29317,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",48.35548169,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-390947108083901,"TATE CK AT RD KE AT MESA, CO",Stream,14010005,39.1630972,-108.1442694,5690,22339,29176,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",10.10943492,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-390949108083101,"MESA CK AT RD KE AT MESA, CO",Stream,14010005,39.163675,-108.1418833,5630,22340,29177,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",3.845331109,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-391012107581901,"DEACON GULCH AT RD 58 NR PLATEAU CITY, CO",Stream,14010005,39.1700667,-107.9720361,6820,22959,30022,COLCLC16,COLCLC16_A,3b,"Plateau Creek including all tributaries and wetlands, from a point immediately below the confluence with Buzzard Creek, to the confluence with the Colorado River, excluding specific listings in segment 15.",14.17153002,COLCLC16_A
USGS-CO,USGS Colorado Water Science Center,USGS-391023108054401,"SPRING CK AT RD KE 0.6 NR MESA, CO",Stream,14010005,39.1731667,-108.0956389,5570,22572,29488,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",15.98740923,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-391028108014901,"COTTONWOOD CR AT RD 54.8 NR MOLINA, CO",Stream,14010005,39.1743389,-108.0301861,6150,22665,29628,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",26.12030726,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-391040107565801,"BIG CK ABV SS DITCH NR RD 59 NR PLATEAU CITY, CO",Stream,14010005,39.1777528,-107.9495667,7210,23028,30122,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",56.19428345,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-391045108041501,"BULL CK AT MESA COUNTY RD KE NR MOLINA, CO",Stream,14010005,39.1792833,-108.0709472,5605,22523,29419,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",16.07179745,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-391058107544401,"SWANEE CK AT RD LE NR COLLBRAN, CO",Stream,14010005,39.1827028,-107.9122556,7005,22614,29544,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",36.97385869,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-391058108022901,"COTTONWOOD CK AT RD KE NR MOLINA, CO",Stream,14010005,39.1826833,-108.0413333,5895,22665,29628,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",14.11008857,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-391059107542501,"NEGRO CK AT RD LE NR COLLBRAN, CO",Stream,14010005,39.1829278,-107.9070889,7080,22615,29545,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",29.39994538,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-391101107535101,"GROVE CK AT RD LE NR COLLBRAN, CO",Stream,14010005,39.1836111,-107.8975,7225,22626,29568,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",47.0485045,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-391102107532601,SPRING CK AT RD LE ABV YT RESERVOIR NR COLLBRAN,Stream,14010005,39.1838889,-107.8905556,7255,22552,29452,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",47.55849524,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-391108107552401,"LITTLE CK AT RD LE NR COLLBRAN, CO",Stream,14010005,39.1855389,-107.9233889,6895,22700,29684,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",29.16567417,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-391108108063601,"SPRING CK NR MOUTH AT HWY 330 NR MESA, CO",Stream,14010005,39.1854333,-108.1098833,5280,22572,29488,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",12.80809014,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-391112108063301,"PLATEAU CK ABV SPRING CK AT HWY 330 NR MOLINA, CO",Stream,14010005,39.1867361,-108.1090861,5280,22571,29487,COLCLC16,COLCLC16_A,3b,"Plateau Creek including all tributaries and wetlands, from a point immediately below the confluence with Buzzard Creek, to the confluence with the Colorado River, excluding specific listings in segment 15.",32.39885641,COLCLC16_A
USGS-CO,USGS Colorado Water Science Center,USGS-391115108043901,"BULL CK AT STATE HWY 330 NR MOLINA, CO",Stream,14010005,39.1873722,-108.0774972,5420,22612,29541,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",7.078994748,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-391119108033101,"COOTONWOOD CK AT RD LE 0.5 AT MOLINA, CO",Stream,14010005,39.1885972,-108.0586694,5600,22665,29628,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",4.140844361,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-391119108045601,"PLATEAU CK BLW BULL CK AT HWY 330 NR MOLINA, CO",Stream,14010005,39.1885389,-108.0821,5360,22616,29546,COLCLC16,COLCLC16_A,3b,"Plateau Creek including all tributaries and wetlands, from a point immediately below the confluence with Buzzard Creek, to the confluence with the Colorado River, excluding specific listings in segment 15.",8.95733103,COLCLC16_A
USGS-CO,USGS Colorado Water Science Center,USGS-391119108082301,"MESA CK NR MOUTH AT HWY 330 NR MESA, CO",Stream,14010005,39.1885611,-108.1395889,5180,22590,29516,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",10.10087472,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-391121108082601,"PLATEAU CR BLW MESA CK AT SH 65 NEAR MESA, CO",Stream,14010005,39.1892056,-108.1404306,5175,22601,29527,COLCLC16,COLCLC16_A,3b,"Plateau Creek including all tributaries and wetlands, from a point immediately below the confluence with Buzzard Creek, to the confluence with the Colorado River, excluding specific listings in segment 15.",22.78111056,COLCLC16_A
USGS-CO,USGS Colorado Water Science Center,USGS-391122108075301,"COON CK AT MOUTH NR MESA, CO",Stream,14010005,39.1894944,-108.1312694,5200,22608,29536,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",3.699557752,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-391140108001001,"DEACON GULCH AT RD ME NR PLATEAU CITY, CO",Stream,14010005,39.1945389,-108.0028611,6230,22959,30022,COLCLC16,COLCLC16_A,3b,"Plateau Creek including all tributaries and wetlands, from a point immediately below the confluence with Buzzard Creek, to the confluence with the Colorado River, excluding specific listings in segment 15.",23.57423675,COLCLC16_A
USGS-CO,USGS Colorado Water Science Center,USGS-391150107550201,"GROVE CREEK AT RD ME NR COLLBRAN, CO",Stream,14010005,39.1971472,-107.9171194,6735,22717,29702,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",13.715402,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-391150107554801,"LITTLE CK AT RD ME NR COLLBRAN, CO",Stream,14010005,39.197275,-107.9300472,6650,22700,29684,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",37.4861313,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-391151107551601,"NEGRO CK AT RD ME NR COLLBRAN, CO",Stream,14010005,39.1973639,-107.9210306,6720,22702,29686,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",3.908971669,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-391155107483401,PARK CK AT RD 66.6 NR VEGA RESERVOIR NR COLLBRAN,Stream,14010005,39.1986111,-107.8094444,8355,23002,30090,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",98.55155294,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-391159107560201,"GROVE CK AT RD 59.5 NR COLLBRAN, CO",Stream,14010005,39.1997417,-107.9338444,6570,22755,29759,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",19.33193949,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-391207107560201,"ANDERSON GULCH AT RD 59.5 NR COLLBRAN, CO",Stream,14010005,39.2020806,-107.9337556,6600,22755,29759,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",94.53231122,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-391218107581201,"BIG CK AT RD ME 0.75 NR PLATEAU CITY, CO",Stream,14010005,39.2050167,-107.9698861,6460,23028,30122,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",7.902635788,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-391226108021701,"PLATEAU CK BLW LITTLE ANDERSON GULCH NR MOLINA, CO",Stream,14010005,39.2072083,-108.0381278,5550,22850,29873,COLCLC16,COLCLC16_A,3b,"Plateau Creek including all tributaries and wetlands, from a point immediately below the confluence with Buzzard Creek, to the confluence with the Colorado River, excluding specific listings in segment 15.",39.1845029,COLCLC16_A
USGS-CO,USGS Colorado Water Science Center,USGS-391252108015801,"LITTLE ANDERSON GULCH AT HWY 330 NR MOLINA, CO",Stream,14010005,39.214325,-108.0328944,5605,22879,29917,COLCLC16,COLCLC16_A,3b,"Plateau Creek including all tributaries and wetlands, from a point immediately below the confluence with Buzzard Creek, to the confluence with the Colorado River, excluding specific listings in segment 15.",12.92870229,COLCLC16_A
USGS-CO,USGS Colorado Water Science Center,USGS-391308107562901,"MUDDY GULCH AT SCOTT RD NR COLLBRAN, CO",Stream,14010005,39.2188639,-107.9412722,6335,23134,30284,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",6.189469474,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-391323108011401,"DEACON GULCH AT MOUTH NR PLATEAU CITY, CO",Stream,14010005,39.2231639,-108.0205167,5655,22959,30022,COLCLC16,COLCLC16_A,3b,"Plateau Creek including all tributaries and wetlands, from a point immediately below the confluence with Buzzard Creek, to the confluence with the Colorado River, excluding specific listings in segment 15.",41.05056764,COLCLC16_A
USGS-CO,USGS Colorado Water Science Center,USGS-391328107484201,"PLATEAU CK BLW VEGA RESERVOIR NR COLLBRAN, CO",Stream,14010005,39.2243167,-107.8116083,7950,23003,30091,COLCLC15c,COLCLC15c_A,5,Mainstem of Plateau Creek from the outlet of Vega Reservoir to a point immediately below the confluence with Buzzard Creek.,151.7297352,COLCLC15c_A
USGS-CO,USGS Colorado Water Science Center,USGS-391328108011301,"PLATEAU CK ABV DEACON GULCH NR PLATEAU CITY, CO",Stream,14010005,39.2243861,-108.0201861,5665,23027,30121,COLCLC16,COLCLC16_A,3b,"Plateau Creek including all tributaries and wetlands, from a point immediately below the confluence with Buzzard Creek, to the confluence with the Colorado River, excluding specific listings in segment 15.",0.907912159,COLCLC16_A
USGS-CO,USGS Colorado Water Science Center,USGS-391344108003701,"BIG CK AT HWY 330 NR PLATEAU CITY, CO",Stream,14010005,39.2290028,-108.0103139,5420,23028,30122,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",30.13267194,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-391414107574301,"GROVE CK AT RD 58.5 AT COLLBRAN, CO",Stream,14010005,39.2372472,-107.9620583,6000,23121,30271,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",1.650536482,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-391427107574001,PLATEAU CK ABV BUZZARD CK AT HWY 330 AT COLLBRAN,Stream,14010005,39.2408528,-107.9609889,6000,23133,30283,COLCLC15c,COLCLC15c_A,5,Mainstem of Plateau Creek from the outlet of Vega Reservoir to a point immediately below the confluence with Buzzard Creek.,20.24830153,COLCLC15c_A
USGS-CO,USGS Colorado Water Science Center,USGS-391427107582201,"KIMBALL CREEK NEAR COLLBRAN, CO",Stream,14010005,39.240812,-107.9734035,NA,23384,30599,COLCLC15a,COLCLC15a_A,5,"Mainstem of Plateau Creek from its source to the inlet of Vega Reservoir. All tributaries and wetlands to Plateau Creek from its source to a point immediately above the confluence with Buzzard Creek. Kimball Creek, Grove Creek, Big Creek, Cottonwood Cree",0.086547223,COLCLC15a_A
USGS-CO,USGS Colorado Water Science Center,USGS-391429107574901,"BUZZARD CK AT MOUTH AT COLLBRAN, CO",Stream,14010005,39.2414722,-107.9635306,5955,23128,30278,COLCLC16,COLCLC16_A,3b,"Plateau Creek including all tributaries and wetlands, from a point immediately below the confluence with Buzzard Creek, to the confluence with the Colorado River, excluding specific listings in segment 15.",1.592887225,COLCLC16_A
