Organization,OrganizationName,MonitoringLocationID,MonitoringLocationName,WBID,AUID,join_Cycle,join_Ag,join_AQLif,join_Rec,join_WS,join_AQLti,join_RecTi,join_Cat,PortionDes,join_ImpAn,distance
USGS-CO,USGS Colorado Water Science Center,USGS-393212106125800,BLACK GORE CREEK ABV BLACK LAKE,COUCEA06,COUCEA06_H,2018,F,I,F,N,C1,E,5,Black Gore Creek adjacent to I-70 above Miller Creek.,"3b,Bugs; 5,As-T",0.006545212
USGS-CO,USGS Colorado Water Science Center,USGS-393221106450700,EAST BRUSH CREEK ABOVE CONFLUENCE,COUCEA12,COUCEA12_A,2018,F,F,F,F,C1,E,1,"Mainstem of Brush Creek, from the source to the confluence with the Eagle River, including the East and West Forks.",,0.000480888
USGS-CO,USGS Colorado Water Science Center,USGS-393237106125900,VAIL PASS STORAGE AREA CULVERT,COUCEA06,COUCEA06_H,2018,F,I,F,N,C1,E,5,Black Gore Creek adjacent to I-70 above Miller Creek.,"3b,Bugs; 5,As-T",0.003057948
USGS-CO,USGS Colorado Water Science Center,USGS-393254106131100,VAIL PASS SAND SHED CULVERT,COUCEA06,COUCEA06_H,2018,F,I,F,N,C1,E,5,Black Gore Creek adjacent to I-70 above Miller Creek.,"3b,Bugs; 5,As-T",0.002053519
USGS-CO,USGS Colorado Water Science Center,USGS-393307106133200,BLACK GORE CREEK BELOW BLACK LAKE #2,COUCEA06,COUCEA06_H,2018,F,I,F,N,C1,E,5,Black Gore Creek adjacent to I-70 above Miller Creek.,"3b,Bugs; 5,As-T",0.000392624
USGS-CO,USGS Colorado Water Science Center,USGS-393501106313200,"BEAVER CREEK ABOVE AVON, CO",COUCEA06,COUCEA06_D,2018,F,F,F,N,C1,E,5,Beaver Creek from confluence with Wayne Creek to Mouth,"5,As-T; 5,Bugs(P)",0.000267257
USGS-CO,USGS Colorado Water Science Center,USGS-393523106364700,"WEST LAKE CREEK NEAR EDWARDS, CO",COUCEA06,COUCEA06_A,2018,F,F,F,N,C1,E,5,"All tributaries to the Eagle River, including all wetlands, from the compressor house bridge at Belden to a point immediately below the confluence with Lake Creek, except for the specific listings in Segments 1, 7a, 7b, and 8. With other exceptions to Bl","5,As-T",0.000416657
USGS-CO,USGS Colorado Water Science Center,USGS-393527106143500,POLK CREEK AT INTERSTATE 70,COUCEA06,COUCEA06_A,2018,F,F,F,N,C1,E,5,"All tributaries to the Eagle River, including all wetlands, from the compressor house bridge at Belden to a point immediately below the confluence with Lake Creek, except for the specific listings in Segments 1, 7a, 7b, and 8. With other exceptions to Bl","5,As-T",0.000363783
USGS-CO,USGS Colorado Water Science Center,USGS-393527106144300,UPPER RUNAWQA TRUCK RAMP DRAIN-VAIL PASS,COUCEA06,COUCEA06_H,2018,F,I,F,N,C1,E,5,Black Gore Creek adjacent to I-70 above Miller Creek.,"3b,Bugs; 5,As-T",0.000199553
USGS-CO,USGS Colorado Water Science Center,USGS-393527106144301,UPPER RUNAWAY TRUCK RAMP CULVERT 2 - VAIL PASS,COUCEA06,COUCEA06_H,2018,F,I,F,N,C1,E,5,Black Gore Creek adjacent to I-70 above Miller Creek.,"3b,Bugs; 5,As-T",0.000199553
USGS-CO,USGS Colorado Water Science Center,USGS-393552106311800,BEAVER CREEK ABV TOWN,COUCEA06,COUCEA06_D,2018,F,N,F,N,C1,E,5,Beaver Creek from confluence with Wayne Creek to Mouth,"5,As-T; 5,Bugs(P)",0.000600623
USGS-CO,USGS Colorado Water Science Center,USGS-393627106264000,"EAGLE RIVER ABOVE GORE CREEK NR. MINTURN, CO",COUCEA05c,COUCEA05c_A,2018,F,N,F,N,C1,E,5,Mainstem of the Eagle River from a point immediately above Martin Creek to a point immediately above the confluence with Gore Creek.,"4a,Cu-D; 4a,Zn-D; 5,Cd-D; 5,As-T; 5,Fe-D",0.000270383
USGS-CO,USGS Colorado Water Science Center,USGS-393633106311000,"BEAVER CREEK AT TOP OF GOLF COURSE AT AVON, CO",COUCEA06,COUCEA06_D,2018,F,N,F,N,C1,E,5,Beaver Creek from confluence with Wayne Creek to Mouth,"5,As-T; 5,Bugs(P)",0.001174026
USGS-CO,USGS Colorado Water Science Center,USGS-393706106274301,"EAGLE RIVER BELOW WHISKEY CREEK ABOVE AVON, CO",COUCEA09a,COUCEA09a_A,2018,F,F,F,N,C1,E,5,Eagle River from Gore Creek to confluence with Berry Creek,"5,As-T",0.000222295
USGS-CO,USGS Colorado Water Science Center,USGS-393713106253900,"GORE CREEK AT WEST VAIL, CO.",COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.000533961
USGS-CO,USGS Colorado Water Science Center,USGS-393715106253600,GORE CREEK AT STEPHENS PARK,COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.000527699
USGS-CO,USGS Colorado Water Science Center,USGS-393726106212000,MILL CREEK ON VAIL MOUNTAIN,COUCEA06,COUCEA06_A,2018,F,F,F,N,C1,E,5,"All tributaries to the Eagle River, including all wetlands, from the compressor house bridge at Belden to a point immediately below the confluence with Lake Creek, except for the specific listings in Segments 1, 7a, 7b, and 8. With other exceptions to Bl","5,As-T",0.001644959
USGS-CO,USGS Colorado Water Science Center,USGS-393737106165900,"GORE CREEK BLW BLACK GORE CREEK NEAR VAIL, CO.",COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",3.93302E-05
USGS-CO,USGS Colorado Water Science Center,USGS-393738106251000,GORE CREEK AT WEST VAIL EXIT,COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.00083323
USGS-CO,USGS Colorado Water Science Center,USGS-393748106171401,"GORE CREEK AT BIGHORN PARK AT VAIL, CO",COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.000235856
USGS-CO,USGS Colorado Water Science Center,USGS-393752106312700,BEAVER CREEK NR MOUTH,COUCEA06,COUCEA06_D,2018,F,F,F,N,C1,E,5,Beaver Creek from confluence with Wayne Creek to Mouth,"5,As-T; 5,Bugs(P)",0.001258542
USGS-CO,USGS Colorado Water Science Center,USGS-393756106244300,"GORE CREEK BELOW BUFFEHR CREEK NEAR WEST VAIL, CO.",COUCEA08,COUCEA08_A,2018,F,F,F,N,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.000124504
USGS-CO,USGS Colorado Water Science Center,USGS-393801106244800,BUFFER CREEK NR VAIL,COUCEA06,COUCEA06_A,2018,F,F,F,N,C1,E,5,"All tributaries to the Eagle River, including all wetlands, from the compressor house bridge at Belden to a point immediately below the confluence with Lake Creek, except for the specific listings in Segments 1, 7a, 7b, and 8. With other exceptions to Bl","5,As-T",0.000610058
USGS-CO,USGS Colorado Water Science Center,USGS-393807106174600,"GORE CREEK ABV BIGHORN CREEK NEAR VAIL, CO.",COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.000181949
USGS-CO,USGS Colorado Water Science Center,USGS-393813106174500,"BIGHORN CREEK NEAR VAIL, CO",COUCEA06,COUCEA06_A,2018,F,F,F,N,C1,E,5,"All tributaries to the Eagle River, including all wetlands, from the compressor house bridge at Belden to a point immediately below the confluence with Lake Creek, except for the specific listings in Segments 1, 7a, 7b, and 8. With other exceptions to Bl","5,As-T",0.001044997
USGS-CO,USGS Colorado Water Science Center,USGS-393814106221500,MILL CREEK AT SKI AREA AT VAIL CO.,COUCEA06,COUCEA06_A,2018,F,F,F,N,C1,E,5,"All tributaries to the Eagle River, including all wetlands, from the compressor house bridge at Belden to a point immediately below the confluence with Lake Creek, except for the specific listings in Segments 1, 7a, 7b, and 8. With other exceptions to Bl","5,As-T",0.000364451
USGS-CO,USGS Colorado Water Science Center,USGS-393822106341801,"EAGLE RIVER BELOW MCCOY CREEK NEAR EDWARDS, CO",COUCEA09a,COUCEA09a_A,2018,F,F,F,N,C1,E,5,Eagle River from Gore Creek to confluence with Berry Creek,"5,As-T",0.000402652
USGS-CO,USGS Colorado Water Science Center,USGS-393823106240000,"GORE CREEK BLW RED SANDSTONE CR AT VAIL, CO.",COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.000613181
USGS-CO,USGS Colorado Water Science Center,USGS-393824106221700,MILL CREEK NR VAIL,COUCEA06,COUCEA06_A,2018,F,F,F,N,C1,E,5,"All tributaries to the Eagle River, including all wetlands, from the compressor house bridge at Belden to a point immediately below the confluence with Lake Creek, except for the specific listings in Segments 1, 7a, 7b, and 8. With other exceptions to Bl","5,As-T",0.000254082
USGS-CO,USGS Colorado Water Science Center,USGS-393825106213400,GORE CREEK DOWNSTREAM OF PULIS BRIDGE,COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.000100391
USGS-CO,USGS Colorado Water Science Center,USGS-393825106220000,"GORE CREEK BELOW GOLF COURSE, AT VAIL CO.",COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",3.31242E-05
USGS-CO,USGS Colorado Water Science Center,USGS-393826106223800,GORE CREEK AT MIDDLE CREEK,COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.000507916
USGS-CO,USGS Colorado Water Science Center,USGS-393826106235300,GORE CREEK BLW WASTEWATER TREATMENT PLANT,COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.000383526
USGS-CO,USGS Colorado Water Science Center,USGS-393829106234000,"GORE CREEK BLW VAIL WWTP OUTFALL AT VAIL, CO",COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.000519828
USGS-CO,USGS Colorado Water Science Center,USGS-393829106234400,"RED SANDSTONE CREEK AT MOUTH, AT VAIL, CO",COUCEA06,COUCEA06_F,2018,F,N,F,N,C1,E,5,Red Sandstone Creek from north side I-70 Frontage Road to confluence with Gore Creek,"5,As-T; 5,Bugs(P)",0.000400367
USGS-CO,USGS Colorado Water Science Center,USGS-393831106181900,GORE CREEK AT BIGHORN SUBDIV. BELOW PITKIN CREEK,COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",3.28231E-05
USGS-CO,USGS Colorado Water Science Center,USGS-393834106351901,"EAGLE RIVER NEAR FREEDOM PARK AT EDWARDS, CO",COUCEA09a,COUCEA09a_A,2018,F,F,F,N,C1,E,5,Eagle River from Gore Creek to confluence with Berry Creek,"5,As-T",0.000135794
USGS-CO,USGS Colorado Water Science Center,USGS-393836106182500,GORE CREEK ABV KATSOS,COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.000108651
USGS-CO,USGS Colorado Water Science Center,USGS-393836106230100,"MIDDLE CREEK NR VAIL, CO",COUCEA06,COUCEA06_A,2018,F,F,F,N,C1,E,5,"All tributaries to the Eagle River, including all wetlands, from the compressor house bridge at Belden to a point immediately below the confluence with Lake Creek, except for the specific listings in Segments 1, 7a, 7b, and 8. With other exceptions to Bl","5,As-T",0.000185592
USGS-CO,USGS Colorado Water Science Center,USGS-393841106234200,RED SANDSTONE CREEK NR VAIL,COUCEA06,COUCEA06_E,2018,F,I,F,N,C1,E,5,Red Sandstone Creek from USFS Boundary to north side I-70 Frontage Road,"3b,Bugs; 5,As-T",0.00036307
USGS-CO,USGS Colorado Water Science Center,USGS-393844106192100,"GORE CREEK ABOVE WELL FIELD, NEAR VAIL, CO.",COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.000264258
USGS-CO,USGS Colorado Water Science Center,USGS-393844106195300,"GORE CREEK AT GOLF COURSE AT VAIL, CO",COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.000595084
USGS-CO,USGS Colorado Water Science Center,USGS-393845106353000,"EAGLE RIVER AT EDWARDS, CO.",COUCEA09a,COUCEA09a_A,2018,F,F,F,N,C1,E,5,Eagle River from Gore Creek to confluence with Berry Creek,"5,As-T",5.08283E-05
USGS-CO,USGS Colorado Water Science Center,USGS-393848106185900,GORE CREEK BLW KATSOS,COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.000578156
USGS-CO,USGS Colorado Water Science Center,USGS-393849106192000,BOOTH CREEK NR VAIL,COUCEA06,COUCEA06_A,2018,F,F,F,N,C1,E,5,"All tributaries to the Eagle River, including all wetlands, from the compressor house bridge at Belden to a point immediately below the confluence with Lake Creek, except for the specific listings in Segments 1, 7a, 7b, and 8. With other exceptions to Bl","5,As-T",7.80599E-05
USGS-CO,USGS Colorado Water Science Center,USGS-393850106353500,EAGLE RIVER AT EDWARDS,COUCEA09a,COUCEA09a_A,2018,F,F,F,N,C1,E,5,Eagle River from Gore Creek to confluence with Berry Creek,"5,As-T",8.56729E-05
USGS-CO,USGS Colorado Water Science Center,USGS-393851106193100,GORE CREEK AT BOOTH CREEK ROAD,COUCEA08,COUCEA08_A,2018,F,N,F,F,C1,E,5,Mainstem of Gore Creek from the confluence with Black Gore Creek to the confluence with the Eagle River.,"5,Bugs(P)",0.001928535
USGS-CO,USGS Colorado Water Science Center,USGS-393851106503400,"BRUSH CREEK AT MOUTH NEAR EAGLE, CO",COUCEA12,COUCEA12_A,2018,F,F,F,F,C1,E,1,"Mainstem of Brush Creek, from the source to the confluence with the Eagle River, including the East and West Forks.",,0.000319009
USGS-CO,USGS Colorado Water Science Center,USGS-393852106234300,RED SAND STONE CREEK NR VAIL,COUCEA06,COUCEA06_E,2018,F,I,F,N,C1,E,5,Red Sandstone Creek from USFS Boundary to north side I-70 Frontage Road,"3b,Bugs; 5,As-T",0.000330836
USGS-CO,USGS Colorado Water Science Center,USGS-393852106503200,"EAGLE RIVER ABOVE BRUSH CREEK AT EAGLE, CO",COUCEA09c,COUCEA09c_A,2018,F,F,F,F,C1,E,1,Mainstem of the Eagle River from a point immediately below the confluence with Rube Creek to the confluence with the Colorado River.,"5,As-T",0.000144885
USGS-CO,USGS Colorado Water Science Center,USGS-393858106570900,GYPSUM CREEK AT MOUTH,COUCEA10a,COUCEA10a_A,2018,F,F,F,N,C1,E,5,"All tributaries to the Eagle River, including all wetlands, from a point immediately below the confluence with Lake Creek to the confluence with the Colorado River, except for specific listings in Segments 10b, 11 and 12, and those waters included in Seg",,0.000245528
USGS-CO,USGS Colorado Water Science Center,USGS-393910106372301,"EAGLE RIVER BELOW LAKE CREEK NEAR EDWARDS, CO",COUCEA09a,COUCEA09a_B,2018,F,N,F,N,C1,E,5,Eagle River from confluence with Berry Creek to confluence with Squaw Creek,"5,As-T; 5,Bugs(P)",0.000464661
USGS-CO,USGS Colorado Water Science Center,USGS-393930106381201,"EAGLE RIVER ABOVE SQUAW CREEK NEAR EDWARDS, CO",COUCEA09a,COUCEA09a_B,2018,F,N,F,N,C1,E,5,Eagle River from confluence with Berry Creek to confluence with Squaw Creek,"5,As-T; 5,Bugs(P)",2.85336E-05
