"OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"USGS-CO","USGS Colorado Water Science Center","USGS-390122108382501","NO THOROUGHFARE CANYON ABOVE DEVILS KITCHEN","Stream","",14010005,NA,"",NA,"",39.0227601,-108.6409294,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",5120,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390202108282801","WEST FK OF \"OM4\" DRAIN AT B ROAD, ORCH.MESA","Stream","",14010005,NA,"",NA,"",39.0338708,-108.4750903,24000,1,"seconds","Interpolated from MAP.","NAD83",4760,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390203108280501","EAST FK OF \"OM4\" DRAIN AT B ROAD, ORCHARD MESA","Stream","",14010005,NA,"",NA,"",39.0341486,-108.4687012,24000,1,"seconds","Interpolated from MAP.","NAD83",4775,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390212108282301","EAST FK OF \"OM4\" DRAIN AT 31.3 ROAD, ORCH.MESA","Stream","",14010005,NA,"",NA,"",39.0366485,-108.4737014,24000,1,"seconds","Interpolated from MAP.","NAD83",4750,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390225108283901","THE \"OM4\" DRAIN AT 31 ROAD, ORCHARD MESA","Stream","",14010005,NA,"",NA,"",39.0402596,-108.478146,24000,1,"seconds","Interpolated from MAP.","NAD83",4730,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390229108285401","THE \"OM4\" DRAIN AT B 1/2 ROAD, ORCHARD MESA","Stream","",14010005,NA,"",NA,"",39.0413707,-108.4823128,24000,1,"seconds","Interpolated from MAP.","NAD83",4730,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390234108384901","RED CANYON BELOW COLUMBUS CANYON, CNM","Stream","",14010005,NA,"",NA,"",39.0427598,-108.6475963,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",4990,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390247108432301","UPPER UTE CANYON AT SUCTION POINT","Stream","",14010005,NA,"",NA,"",39.046371,-108.72371,24000,1,"seconds","Interpolated from MAP.","NAD83",6280,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390253108300401","SIDE CHANNEL AT WEST POOL, O.M.WILDLIFE AREA","Stream","",14010005,NA,"",NA,"",39.0480373,-108.501758,24000,1,"seconds","Interpolated from MAP.","NAD83",4600,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390255108291201","THE \"OM4\" DRAIN AT C ROAD (PHASE3 SITE OM1)","Stream","",14010005,NA,"",NA,"",39.0485928,-108.487313,24000,1,"seconds","Interpolated from MAP.","NAD83",4680,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390255108300401","LOWER COLLECTOR DRAIN,OMWA, NEAR OUTLET","Stream","",14010005,NA,"",NA,"",39.0486111,-108.5011111,24000,3,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",4610,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390300108295301","LOWER COLLECTOR DRAIN,OMWA, UPPER SITE","Stream","",14010005,NA,"",NA,"",39.05,-108.4980556,24000,3,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",4610,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390302108293801","WEST GULLY AT MOUTH (GF5), O.M.WILDLIFE AREA","Stream","",14010005,NA,"",NA,"",39.0505373,-108.4945355,24000,1,"seconds","Interpolated from MAP.","NAD83",4620,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390302108361301","NO THOROUGHFARE CANYON NR GRAND JUNCTION","Stream","",14010005,NA,"",NA,"",39.0505374,-108.6042615,24000,1,"seconds","Interpolated from MAP.","NAD83",4660,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390303108291601","THE \"OM4\" DRAIN AT MOUTH AT OMWA (SITE GF6)","Stream","",14010005,NA,"",NA,"",39.050815,-108.4884242,24000,1,"seconds","Interpolated from MAP.","NAD83",4630,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390304108291501","COLLECTOR DITCH ABOVE DRAIN OM1, GRIFFITHS B.WATER","Stream: Ditch","",14010005,NA,"",NA,"",39.0510928,-108.4881464,24000,1,"seconds","Interpolated from MAP.","NAD83",4610,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390304108293701","COLLECTOR DITCH AT ROAD CROSSING (GF2),OMWA","Stream: Ditch","",14010005,NA,"",NA,"",39.0510928,-108.4942577,24000,1,"seconds","Interpolated from MAP.","NAD83",4600,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390306108294501","POOL OFF COLLECTOR DRAIN BELOW ROAD,GRIFFITHS","Stream","",14010005,NA,"",NA,"",39.0516484,-108.49648,24000,1,"seconds","Interpolated from MAP.","NAD83",4600,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390307108290801","P DRAIN AT ORCHARD MESA WILDLIFE AREA","Stream","",14010005,NA,"",NA,"",39.0519261,-108.4862019,24000,3,"seconds","Interpolated from MAP.","NAD83",4610,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390307108291901","BACKWATER ACROSS FROM OM4 DRAIN, OMWA","Stream","",14010005,NA,"",NA,"",39.0520095,-108.4891464,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",4600,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390309108291201","BACKWATER UPSTREAM OF OM4 DRAIN, OMWA","Stream","",14010005,NA,"",NA,"",39.0524817,-108.487313,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",4600,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390311108303101","DRAINAGE DITCH NR HOT SPOT POND","Stream: Ditch","",14010005,NA,"",NA,"",39.053315,-108.5087027,24000,1,"seconds","Interpolated from MAP.","NAD83",4600,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390313108291601","COLORADO RIVER, LB, AT OMWA ABV OM4 DRAIN","Stream","",14010005,NA,"",NA,"",39.0535928,-108.4884242,24000,3,"seconds","Interpolated from MAP.","NAD83",4600,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390316108285301","EAST DRAINAGE DITCH AT GRIFFITHS BACKWATER COMPLEX","Stream: Ditch","",14010005,NA,"",NA,"",39.0544261,-108.482035,24000,1,"seconds","Interpolated from MAP.","NAD83",4620,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390316108400301","LOWER UTE CANYON NEAR LIBERTY CAP, CNM","Stream","",14010005,NA,"",NA,"",39.0544264,-108.6681526,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",5560,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390318108273200","COLORADO RIVER AT 32 ROAD NEAR CLIFTON, CO","Stream","",14010005,NA,"",NA,"",39.0549817,-108.4595342,24000,1,"seconds","Interpolated from MAP.","NAD83",4600,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390318108293301","HUMPHREY BACKWATER BELOW DRAIN GJ3","Stream","",14010005,NA,"",NA,"",39.055,-108.4925,24000,1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",4600,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390319108273200","COLORADO RIVER AT CLIFTON","Stream","",14010005,NA,"",NA,"",39.0552594,-108.4595342,NA,1,"minutes","Interpolated from MAP.","NAD83",NA,"",NA,"","","","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390319108312501","DRAIN AT C 1/2 AND 28 1/2 ROADS","Stream","",14010005,NA,"",NA,"",39.0552595,-108.5242588,24000,1,"seconds","Interpolated from MAP.","NAD83",4595,"feet",5,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390320108305201","DRAINAGE DITCH AT 29 AND C 1/2 ROADS","Stream: Ditch","",14010005,NA,"",NA,"",39.0555372,-108.5150918,24000,1,"seconds","Interpolated from MAP.","NAD83",4580,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390320108315901","INDIAN WASH AT C 1/2 ROAD","Stream","",14010005,NA,"",NA,"",39.0555373,-108.5337036,24000,1,"seconds","Interpolated from MAP.","NAD83",4580,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390322108253401","DRAIN, C 1/2 AND 33 3/4 ROADS, CEN.ORCHARD MESA","Stream","",14010005,NA,"",NA,"",39.0560927,-108.4267552,24000,1,"seconds","Interpolated from MAP.","NAD83",4770,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390322108263001","DRAIN, C 1/2 AND 33 ROAD, CEN.ORCHARD MESA","Stream","",14010005,NA,"",NA,"",39.0560927,-108.4423114,24000,1,"seconds","Interpolated from MAP.","NAD83",4700,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390322108292301","HUMPHREY BACKWATER,SITE 4,LOWER CHANNEL","Stream","",14010005,NA,"",NA,"",39.0560928,-108.4903687,24000,1,"seconds","Interpolated from MAP.","NAD83",4595,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390323108291601","HUMPHREY BACKWATER BELOW CRWA.OUTLET","Stream","",14010005,NA,"",NA,"",39.0563705,-108.4884242,24000,1,"seconds","Interpolated from MAP.","NAD83",4595,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
