"MonitoringLocationID","OrganizationID","OrganizationName","MonitoringLocationName","MonitoringLocationType","HUC8","Latitude","Longitude","VerticalMe","OBJECTID","SGEOID","WBID","AUID","Cat","PortionDes","distance","SegmentID","n","org","start","end","paramCount","paramNames"
"21COL001-11145A","21COL001","Colorado Dept. of Public Health & Environment","W. FORK PARACHUTE CK NEAR MOUTH","River/Stream",14010005,39.5811667,-108.113,NA,27295,35493,"COLCLC11b","COLCLC11b_A","1","Mainstem of the West Fork of Parachute Creek from West Fork Falls to the confluence with Parachute Creek; mainstem of the Middle Fork of Parachute Creek, including all tributaries, from the source to the confluence with East Middle Fork of Parachute Cree",52.40737327,"COLCLC11b_A",397,"21COL001",1999,2007,27,"Alkalinity, total;  Aluminum;  Ammonia-nitrogen;  Arsenic;  Cadmium;  Copper;  Dissolved oxygen (DO);  Escherichia coli;  Fecal Coliform;  Hardness, Ca, Mg;  Inorganic nitrogen (nitrate and nitrite) as N;  Iron;  Kjeldahl nitrogen;  Lead;  Manganese;  Mercury;  pH;  Phosphate-phosphorus as P;  Selenium;  Silver;  Specific conductance;  Sulfate as SO4;  Temperature, air;  Temperature, water;  Total dissolved solids;  Total suspended solids;  Zinc;  "
"21COL001-11145B","21COL001","Colorado Dept. of Public Health & Environment","MIDDLE FORK PARACHUTE CK ABV WEST FORK PARACHUTE CK","River/Stream",14010005,39.5805,-108.112,NA,27164,35339,"COLCLC11b","COLCLC11b_A","1","Mainstem of the West Fork of Parachute Creek from West Fork Falls to the confluence with Parachute Creek; mainstem of the Middle Fork of Parachute Creek, including all tributaries, from the source to the confluence with East Middle Fork of Parachute Cree",42.97457503,"COLCLC11b_A",430,"21COL001",1999,2007,28,"Alkalinity, total;  Aluminum;  Ammonia-nitrogen;  Arsenic;  Cadmium;  Copper;  Dissolved oxygen (DO);  Escherichia coli;  Fecal Coliform;  Hardness, Ca, Mg;  Inorganic nitrogen (nitrate and nitrite) as N;  Iron;  Kjeldahl nitrogen;  Lead;  Manganese;  Mercury;  Nitrite;  pH;  Phosphate-phosphorus as P;  Selenium;  Silver;  Specific conductance;  Sulfate as SO4;  Temperature, air;  Temperature, water;  Total dissolved solids;  Total suspended solids;  Zinc;  "
"21COL001-11145B2","21COL001","Colorado Dept. of Public Health & Environment","MIDDLE FORK PARACHUTE CK BLW DAVIS GULCH","River/Stream",14010005,39.6208333,-108.1058333,6156,28403,36980,"COLCLC11b","COLCLC11b_A","1","Mainstem of the West Fork of Parachute Creek from West Fork Falls to the confluence with Parachute Creek; mainstem of the Middle Fork of Parachute Creek, including all tributaries, from the source to the confluence with East Middle Fork of Parachute Cree",44.27222383,"COLCLC11b_A",26,"21COL001",2000,2000,25,"Alkalinity, total;  Aluminum;  Ammonia-nitrogen;  Arsenic;  Cadmium;  Copper;  Dissolved oxygen (DO);  Fecal Coliform;  Hardness, Ca, Mg;  Inorganic nitrogen (nitrate and nitrite) as N;  Iron;  Lead;  Manganese;  Mercury;  pH;  Phosphate-phosphorus as P;  Selenium;  Silver;  Specific conductance;  Sulfate as SO4;  Temperature, air;  Temperature, water;  Total dissolved solids;  Total suspended solids;  Zinc;  "
"21COL001-11145C","21COL001","Colorado Dept. of Public Health & Environment","E. FORK PARACHUTE CK NEAR MOUTH","River/Stream",14010005,39.5778333,-108.1066667,NA,27155,35330,"COLCLC11f","COLCLC11f_A","1","Mainstem of the East Fork of Parachute Creek from the west boundary line of S29, T5S, R95W to the confluence with Middle Fork of Parachute Creek.",0.735657378,"COLCLC11f_A",421,"21COL001",1999,2007,27,"Alkalinity, total;  Aluminum;  Ammonia-nitrogen;  Arsenic;  Cadmium;  Copper;  Dissolved oxygen (DO);  Escherichia coli;  Fecal Coliform;  Hardness, Ca, Mg;  Inorganic nitrogen (nitrate and nitrite) as N;  Iron;  Kjeldahl nitrogen;  Lead;  Manganese;  Mercury;  pH;  Phosphate-phosphorus as P;  Selenium;  Silver;  Specific conductance;  Sulfate as SO4;  Temperature, air;  Temperature, water;  Total dissolved solids;  Total suspended solids;  Zinc;  "
"21COL001-11149B","21COL001","Colorado Dept. of Public Health & Environment","MAMM CK. @ ANTARA RESOURCES NR GARFIELD COUNTY AIRPORT","River/Stream",14010005,39.5106667,-107.6903333,NA,26224,34249,"COLCLC04a","COLCLC04a_B","5","Mamm Creek",1.66693872,"COLCLC04a_B",45,"21COL001",2000,2000,25,"Alkalinity, total;  Aluminum;  Ammonia-nitrogen;  Arsenic;  Cadmium;  Copper;  Dissolved oxygen (DO);  Fecal Coliform;  Hardness, Ca, Mg;  Inorganic nitrogen (nitrate and nitrite) as N;  Iron;  Lead;  Manganese;  Mercury;  pH;  Phosphate-phosphorus as P;  Selenium;  Silver;  Specific conductance;  Sulfate as SO4;  Temperature, air;  Temperature, water;  Total dissolved solids;  Total suspended solids;  Zinc;  "
"21COL001-11170","21COL001","Colorado Dept. of Public Health & Environment","RIFLE CREEK AT RIFLE","River/Stream",14010005,39.53802,-107.7833,5337,26567,34649,"COLCLC10","COLCLC10_A","5","East Rifle Creek from the White River NF boundary to Rifle Gap Reservoir. Rifle Creek from Rifle Gap Reservoir to the Colorado River",0.530858929,"COLCLC10_A",148,"21COL001",2006,2008,21,"Alkalinity, total;  Aluminum;  Ammonia-nitrogen;  Cadmium;  Copper;  Dissolved oxygen (DO);  Escherichia coli;  Hardness, Ca, Mg;  Inorganic nitrogen (nitrate and nitrite) as N;  Iron;  Kjeldahl nitrogen;  Lead;  Manganese;  pH;  Phosphate-phosphorus as P;  Selenium;  Silver;  Specific conductance;  Sulfate as SO4;  Temperature, water;  Zinc;  "
"21COL001-11171","21COL001","Colorado Dept. of Public Health & Environment","WEST RIFLE CREEK AT RIFLE GAP STATE PARK","River/Stream",14010005,39.64615,-107.78,0,28414,37004,"COLCLC10","COLCLC10_B","5","West Rifle Creek and tributaries",6.543344561,"COLCLC10_B",84,"21COL001",2006,2007,20,"Alkalinity, total;  Ammonia-nitrogen;  Cadmium;  Copper;  Dissolved oxygen (DO);  Escherichia coli;  Hardness, Ca, Mg;  Inorganic nitrogen (nitrate and nitrite) as N;  Iron;  Kjeldahl nitrogen;  Lead;  Manganese;  pH;  Phosphate-phosphorus as P;  Selenium;  Silver;  Specific conductance;  Sulfate as SO4;  Temperature, water;  Zinc;  "
"21COL001-11173","21COL001","Colorado Dept. of Public Health & Environment","EAST RIFLE CREEK AT RIFLE FALLS STATE PARK","River/Stream",14010005,39.67628,-107.6988,6536,28719,37372,"COLCLC10","COLCLC10_A","5","East Rifle Creek from the White River NF boundary to Rifle Gap Reservoir. Rifle Creek from Rifle Gap Reservoir to the Colorado River",15.88556198,"COLCLC10_A",84,"21COL001",2006,2007,20,"Alkalinity, total;  Ammonia-nitrogen;  Cadmium;  Copper;  Dissolved oxygen (DO);  Escherichia coli;  Hardness, Ca, Mg;  Inorganic nitrogen (nitrate and nitrite) as N;  Iron;  Kjeldahl nitrogen;  Lead;  Manganese;  pH;  Phosphate-phosphorus as P;  Selenium;  Silver;  Specific conductance;  Sulfate as SO4;  Temperature, water;  Zinc;  "
"21COL001-11181","21COL001","Colorado Dept. of Public Health & Environment","DIVIDE CK NR MOUTH AT 335 RD","River/Stream",14010005,39.54047,-107.62302,0,26532,34612,"COLCLC07b","COLCLC07b_A","1","Mainstem of Divide Creek, including all tributaries and wetlands, from the boundary of the White River National Forest to the confluence with the Colorado River.",17.90789826,"COLCLC07b_A",43,"21COL001",2006,2007,22,"Alkalinity, total;  Aluminum;  Ammonia-nitrogen;  Cadmium;  Copper;  Dissolved oxygen (DO);  Escherichia coli;  Flow;  Hardness, Ca, Mg;  Inorganic nitrogen (nitrate and nitrite) as N;  Iron;  Kjeldahl nitrogen;  Lead;  Manganese;  pH;  Phosphate-phosphorus as P;  Selenium;  Silver;  Specific conductance;  Sulfate as SO4;  Temperature, water;  Zinc;  "
"21COL001-11181A","21COL001","Colorado Dept. of Public Health & Environment","GARFIELD CK NR MOUTH AT 335 RD","River/Stream",14010005,39.55187,-107.55842,0,26702,34809,"COLCLC07a","COLCLC07a_A","1","Mainstem of Mitchell, Canyon, Elk, Garfield, Beaver, and Cache Creeks, including all tributaries and wetlands, from the boundary of the White River National Forest to their confluences with the Colorado River. Battlement Creek from the most downstream bo",0.090722104,"COLCLC07a_A",21,"21COL001",2007,2007,20,"Alkalinity, total;  Ammonia-nitrogen;  Cadmium;  Copper;  Dissolved oxygen (DO);  Escherichia coli;  Hardness, Ca, Mg;  Inorganic nitrogen (nitrate and nitrite) as N;  Iron;  Kjeldahl nitrogen;  Lead;  Manganese;  pH;  Phosphate-phosphorus as P;  Selenium;  Silver;  Specific conductance;  Sulfate as SO4;  Temperature, water;  Zinc;  "
"21COL001-11185","21COL001","Colorado Dept. of Public Health & Environment","WEST DIVIDE CK. @ GAGE BLW LITTLE MUDDY GULCH","River/Stream",14010005,39.3309482,-107.5801166,6865,24248,31738,"COLCLC07b","COLCLC07b_A","1","Mainstem of Divide Creek, including all tributaries and wetlands, from the boundary of the White River National Forest to the confluence with the Colorado River.",2.789629003,"COLCLC07b_A",236,"21COL001",1995,1996,25,"Alkalinity, total;  Ammonia;  Ammonia-nitrogen;  Ammonia-nitrogen as N;  Cadmium;  Copper;  Dissolved oxygen (DO);  Dissolved oxygen saturation;  Fecal Coliform;  Hardness, Ca, Mg;  Inorganic nitrogen (nitrate and nitrite) as N;  Iron;  Lead;  Manganese;  Mercury;  pH;  Phosphate-phosphorus as P;  Selenium;  Silver;  Sulfate as SO4;  Temperature, air;  Temperature, water;  Total dissolved solids;  Total suspended solids;  Zinc;  "
"21COL001-11185A","21COL001","Colorado Dept. of Public Health & Environment","WEST DIVIDE CREEK AT 344 RD.","River/Stream",14010005,39.36747,-107.5928,0,24782,32446,"COLCLC07b","COLCLC07b_A","1","Mainstem of Divide Creek, including all tributaries and wetlands, from the boundary of the White River National Forest to the confluence with the Colorado River.",28.10352686,"COLCLC07b_A",21,"21COL001",2007,2007,20,"Alkalinity, total;  Aluminum;  Ammonia-nitrogen;  Cadmium;  Copper;  Dissolved oxygen (DO);  Hardness, Ca, Mg;  Inorganic nitrogen (nitrate and nitrite) as N;  Iron;  Kjeldahl nitrogen;  Lead;  Manganese;  pH;  Phosphate-phosphorus as P;  Selenium;  Silver;  Specific conductance;  Sulfate as SO4;  Temperature, water;  Zinc;  "
